Art-Oil Painting,Art-Watercolor Painting,Art-Pastel Painting,Art-Pencil Drawing,Art-Charcoal Drawing,Art-Ink Illustration,Art-Woodcut Printing,Art-Linocut Printing,Art-Etching,Art-Calligraphy,Art-Ceramics,Art-Textile Arts
0.4085363747065338,0.5776718754263425,0.33092018268633444,0.5196577509215718,0.37474321611814837,0.7423894553767602,0.6025117156285722,0.666819516737618,0.5399375971175985,0.7185428836077157,0.6005674500918255,0.6446981359067603
0.44033132357510535,0.2620686795085912,0.48050209755850565,0.31808090792549415,0.30507731164876406,0.539540114386958,0.2988078717869142,0.30672136158773833,0.3938880524519564,0.38645322473657634,0.29613653346328395,0.3893215074019005
0.36206768444058895,0.37827613294493206,0.4274010171294419,0.43349027586664707,0.538600605386284,0.55034313765409,0.32670113752249075,0.4700159313203309,0.3938003086675961,0.22892001361934788,0.4030142846938936,0.39518567891077877
0.5126424399173729,0.575109109644892,0.5453276769407799,0.641709228661442,0.42527261451043985,0.7188085659323317,0.5446154859906549,0.5373607527875985,0.5486799367567917,0.5616746451964558,0.4574479236799844,0.5443743892248829
0.4139176613591138,0.6026022611220732,0.576360569694364,0.349576116073791,0.44922472684654163,0.47174463985509624,0.5141553686479554,0.6572580920149498,0.6275227036207525,0.5093478539193982,0.6619660110959122,0.6073400956901882
0.3831123563369455,0.4773069615257368,0.23054378844128876,0.462809631737733,0.4105733050147044,0.48668151251259967,0.47054048644491586,0.6550759997626214,0.5493674950940741,0.7220113706081799,0.39271205607609455,0.3189514913867882
0.5281238662238081,0.430972387269394,0.7575049753555197,0.5097449420976132,0.4958217222996437,0.5347067016260638,0.4035054285102712,0.44961609116453805,0.4825136100817082,0.5808134056878967,0.7008164480914038,0.8340199984015468
0.4573538932856697,0.39729599933533627,0.6389672425275184,0.38407839047481396,0.24996114221666527,0.30107770887228535,0.39191053499459033,0.4133434914030652,0.4218957847448684,0.6226543349665953,0.6167015640599536,0.5027747904512427
0.42144588518590614,0.41840642132567774,0.5792211464421472,0.5341076060210923,0.3261862719279889,0.3018222120236469,0.25796264711651745,0.2078943126675881,0.3091109523422672,0.2454736489364683,0.35523138903782925,0.23361703577575788
0.519743729548648,0.3570890093470444,0.6648879915354551,0.4655374941320164,0.38633015893997164,0.3311066056010318,0.5163746628867615,0.6827689354670673,0.5470680249777878,0.5293987815187208,0.5439879280058568,0.629435851863575
0.5468756964776417,0.6024593327835098,0.6536379770965689,0.47166047436303804,0.3820166071037371,0.7464699051913858,0.3664542762958212,0.4315657223694652,0.5793809465153225,0.2546052768179547,0.42412688220975614,0.5755799516733975
0.5533657662016117,0.4806955467351195,0.46874460045882865,0.3382204877862321,0.26918361118035145,0.31870223882516585,0.410478290423203,0.33915387212532866,0.42181521172748737,0.3064089464708659,0.2704661405338321,0.43175447594078464
0.2643676835954227,0.13476277692695013,0.16705966903540892,0.37922782298201446,0.2842104079177932,0.19785457038757315,0.4138157778125087,0.3990907690776601,0.5077187418491994,0.3317693659972242,0.0,0.09737619974486197
0.5379967159408029,0.4752465439866064,0.4930990529103005,0.7117132884427365,0.5579724228296388,0.6486113459488833,0.510108772848522,0.5050140728729829,0.5947824201925876,0.6192864779383918,0.4387385755571602,0.4762233220912006
